n00444937 snorkel
n00446980 bow
n00466712 golf
n00467536 shuffle
n00468299 hockey
n00474657 baseball
n00475535 baseball
n01317294 horse
n01318279 turtle
n01323781 animal
n01441117 fish
n01448594 fish
n01462544 cell
n01484850 shark
n01517966 bird
n01521399 ostrich
n01527917 bird
n01531178 bird
n01544389 bird
n01548865 bird
n01560935 bird
n01568892 bird
n01579149 bird
n01581874 bird
n01586374 bird
n01592387 bird
n01597737 bird
n01599388 bird
n01607962 hawk
n01608265 bird
n01608814 bird
n01622120 owl
n01624537 owl
n01624833 owl
n01632458 salamander
n01632601 lizard
n01633781 lizard
n01635176 lizard
n01641206 frog
n01641391 frog
n01648356 frog
n01652026 frog
n01665541 turtle
n01680983 lizard
n01731137 snake
n01733466 snake
n01735728 snake
n01737472 snake
n01748389 snake
n01758141 snake
n01772664 spider
n01783706 centipede
n01788579 fossil
n01795735 bird
n01813948 bird
n01814217 bird
n01814755 bird
n01815036 bird
n01839086 bird
n01841679 bird
n01842235 bird
n01879509 animal
n01885498 anteater
n01887623 bull
n01887787 cow
n01949499 shell
n01966377 shell
n01968897 shell
n01971620 squid
n01978287 crab
n01984245 shrimp
n01988203 shrimp
n02003037 bird
n02011281 bird
n02011943 bird
n02014524 bird
n02023855 bird
n02026948 bird
n02031298 bird
n02034295 bird
n02037869 duck
n02042046 bird
n02047517 bird
n02048115 bird
n02052204 bird
n02091831 dog
n02092339 dog
n02096294 dog
n02101006 dog
n02106030 dog
n02111889 dog
n02113023 dog
n02113799 dog
n02122510 cat
n02122948 cat
n02123045 cat
n02123478 cat
n02132788 bear
n02157206 bug
n02174001 bug
n02192513 fly
n02202124 bug
n02208498 bee
n02231803 bug
n02236355 bug
n02247216 bug
n02262449 insect
n02264232 bug
n02275560 butterfly
n02276258 butterfly
n02279972 butterfly
n02292692 moth
n02297442 caterpillar
n02301935 butterfly
n02303284 butterfly
n02332447 mouse
n02341288 mouse
n02343058 hamster
n02343320 hamster
n02357585 squirrel
n02361850 squirrel
n02376679 horse
n02378625 horse
n02381261 horse
n02385214 horse
n02387722 horse
n02389779 donkey
n02403003 cow
n02414290 sheep
n02414442 sheep
n02415130 ram
n02431441 deer
n02438580 llama
n02445394 otter
n02480495 monkey
n02482060 chimpanzee
n02482286 chimpanzee
n02488894 monkey
n02494079 monkey
n02508742 lemur
n02523427 fish
n02527622 fish
n02535163 fish
n02562971 fish
n02587479 fish
n02592371 fish
n02593191 fish
n02605936 fish
n02611561 fish
n02616851 fish
n02627532 fish
n02658811 fish
n02662993 fish
n02667244 microscope
n02685253 airplane
n02714535 battery
n02723165 deoderant
n02730568 pipe
n02735538 boot
n02759257 camera
n02772101 computer
n02775039 train
n02795670 people
n02801823 helmet
n02803666 drum
n02805283 baster
n02809736 baton
n02813752 gun
n02816656 beanbag
n02828299 buckle
n02834642 hat
n02843909 pope
n02878222 ship
n02885882 booth
n02886321 mattress
